 name:     cobalt                               Feff8L (EXAFS)       0.1
 formula:  Co
 sites:    Co1
 refer1:   Kittel, ISSP
 refer2:
 schoen:
 notes1:   metal, hexagonal close packed (hcp)
 POT  Non-SCF, core-hole, AFOLP (folp(0)= 1.150)
 Abs   Z=27 Rmt= 1.332 Rnm= 1.369 K  shell
 Pot 1 Z=27 Rmt= 1.344 Rnm= 1.383
 Gam_ch=1.436E+00 H-L exch
 Mu=-1.181E+01 kf=2.060E+00 Vint=-2.798E+01 Rs_int= 1.761
 PATH  Rmax= 5.000,  Keep_limit= 0.00, Heap_limit 0.00  Pwcrit= 2.50%
 Path   24      icalc       2
 -----------------------------------------------------------------------
   4  12.000   4.9965    2.6137  -11.81193 nleg, deg, reff, rnrmav(bohr), edge
        x         y         z   pot at#
    -0.0000   -0.0000   -0.0000  0  27 Co       absorbing atom
    -1.4491   -0.0000   -2.0350  1  27 Co
    -2.1737   -1.2550   -4.0700  1  27 Co
    -1.4491   -0.0000   -2.0350  1  27 Co
    k   real[2*phc]   mag[feff]  phase[feff] red factor   lambda     real[p]@#
 -0.000  3.1482E+00  8.6385E-06 -7.1883E-01  1.007E+00  2.1863E+01  2.0604E+00
  0.100  3.1478E+00  5.3729E-03 -1.6964E+00  1.007E+00  2.1888E+01  2.0627E+00
  0.200  3.1468E+00  1.0663E-02 -2.6264E+00  1.007E+00  2.1959E+01  2.0697E+00
  0.300  3.1451E+00  1.5794E-02 -3.5116E+00  1.007E+00  2.2070E+01  2.0812E+00
  0.400  3.1426E+00  2.0698E-02 -4.3541E+00  1.007E+00  2.2210E+01  2.0973E+00
  0.500  3.1393E+00  2.5322E-02 -5.1561E+00  1.007E+00  2.2364E+01  2.1178E+00
  0.600  3.1351E+00  2.9622E-02 -5.9200E+00  1.008E+00  2.2513E+01  2.1426E+00
  0.700  3.1299E+00  3.3568E-02 -6.6482E+00  1.008E+00  2.2636E+01  2.1715E+00
  0.800  3.1236E+00  3.7142E-02 -7.3423E+00  1.009E+00  2.2710E+01  2.2045E+00
  0.900  3.1161E+00  4.0330E-02 -8.0042E+00  1.010E+00  2.2715E+01  2.2414E+00
  1.000  3.1072E+00  4.3122E-02 -8.6349E+00  1.011E+00  2.2631E+01  2.2821E+00
  1.100  3.0967E+00  4.5507E-02 -9.2354E+00  1.013E+00  2.2445E+01  2.3264E+00
  1.200  3.0844E+00  4.7472E-02 -9.8063E+00  1.014E+00  2.2148E+01  2.3743E+00
  1.300  3.0702E+00  4.9003E-02 -1.0348E+01  1.016E+00  2.1742E+01  2.4255E+00
  1.400  3.0537E+00  5.0072E-02 -1.0860E+01  1.019E+00  2.1234E+01  2.4801E+00
  1.500  3.0347E+00  5.0650E-02 -1.1343E+01  1.022E+00  2.0641E+01  2.5380E+00
  1.600  3.0130E+00  5.0700E-02 -1.1796E+01  1.025E+00  1.9982E+01  2.5991E+00
  1.700  2.9881E+00  5.0179E-02 -1.2218E+01  1.028E+00  1.9283E+01  2.6634E+00
  1.800  2.9597E+00  4.9043E-02 -1.2606E+01  1.033E+00  1.8570E+01  2.7309E+00
  1.900  2.9274E+00  4.7258E-02 -1.2959E+01  1.037E+00  1.7869E+01  2.8016E+00
  2.000  2.8908E+00  4.4800E-02 -1.3272E+01  1.041E+00  1.7206E+01  2.8757E+00
  2.200  2.8027E+00  3.7947E-02 -1.3745E+01  1.050E+00  1.6090E+01  3.0340E+00
  2.400  2.6728E+00  2.8345E-02 -1.3887E+01  1.053E+00  1.5393E+01  3.2162E+00
  2.600  2.5483E+00  2.7696E-02 -1.3697E+01  1.183E+00  8.4630E+00  3.3978E+00
  2.800  2.5352E+00  3.1694E-02 -1.3766E+01  1.238E+00  6.8684E+00  3.5331E+00
  3.000  2.5148E+00  4.6415E-02 -1.4091E+01  1.260E+00  6.1927E+00  3.6684E+00
  3.200  2.4693E+00  6.5153E-02 -1.4554E+01  1.266E+00  5.8729E+00  3.8135E+00
  3.400  2.4099E+00  8.5345E-02 -1.5052E+01  1.258E+00  5.7357E+00  3.9643E+00
  3.600  2.3415E+00  1.0478E-01 -1.5508E+01  1.248E+00  5.7059E+00  4.1202E+00
  3.800  2.2656E+00  1.2071E-01 -1.5922E+01  1.230E+00  5.7468E+00  4.2808E+00
  4.000  2.1842E+00  1.3213E-01 -1.6286E+01  1.214E+00  5.8378E+00  4.4455E+00
  4.200  2.0995E+00  1.3746E-01 -1.6605E+01  1.195E+00  5.9669E+00  4.6139E+00
  4.400  2.0120E+00  1.3680E-01 -1.6883E+01  1.177E+00  6.1259E+00  4.7854E+00
  4.600  1.9223E+00  1.3115E-01 -1.7125E+01  1.161E+00  6.3095E+00  4.9599E+00
  4.800  1.8322E+00  1.2096E-01 -1.7330E+01  1.145E+00  6.5139E+00  5.1368E+00
  5.000  1.7414E+00  1.0843E-01 -1.7498E+01  1.130E+00  6.7361E+00  5.3160E+00
  5.200  1.6504E+00  9.4716E-02 -1.7627E+01  1.115E+00  6.9742E+00  5.4972E+00
  5.400  1.5594E+00  8.0576E-02 -1.7711E+01  1.102E+00  7.2263E+00  5.6801E+00
  5.600  1.4684E+00  6.7797E-02 -1.7738E+01  1.090E+00  7.4912E+00  5.8646E+00
  5.800  1.3777E+00  5.7589E-02 -1.7706E+01  1.077E+00  7.7678E+00  6.0504E+00
  6.000  1.2874E+00  5.0727E-02 -1.7619E+01  1.067E+00  8.0554E+00  6.2374E+00
  6.500  1.0646E+00  4.8346E-02 -1.7393E+01  1.042E+00  8.8173E+00  6.7095E+00
  7.000  8.4893E-01  5.3369E-02 -1.7425E+01  1.023E+00  9.6346E+00  7.1868E+00
  7.500  6.4283E-01  5.5143E-02 -1.7635E+01  1.008E+00  1.0501E+01  7.6680E+00
  8.000  4.4735E-01  5.2282E-02 -1.7919E+01  9.965E-01  1.1414E+01  8.1523E+00
  8.500  2.5999E-01  4.5923E-02 -1.8216E+01  9.853E-01  1.2368E+01  8.6390E+00
  9.000  7.9617E-02  3.7880E-02 -1.8537E+01  9.737E-01  1.3362E+01  9.1277E+00
  9.500 -9.7265E-02  2.9617E-02 -1.8885E+01  9.616E-01  1.4394E+01  9.6179E+00
 10.000 -2.6932E-01  2.1709E-02 -1.9259E+01  9.519E-01  1.5461E+01  1.0109E+01
 11.000 -5.9315E-01  9.6749E-03 -2.0227E+01  9.391E-01  1.7700E+01  1.1095E+01
 12.000 -8.9256E-01  6.8280E-03 -2.1882E+01  9.317E-01  2.0068E+01  1.2084E+01
 13.000 -1.1690E+00  1.3348E-02 -2.2839E+01  9.277E-01  2.2558E+01  1.3076E+01
 14.000 -1.4234E+00  2.7799E-02 -2.3637E+01  9.261E-01  2.5165E+01  1.4068E+01
 15.000 -1.6600E+00  4.8461E-02 -2.4590E+01  9.256E-01  2.7883E+01  1.5062E+01
 16.000 -1.8792E+00  6.5764E-02 -2.5603E+01  9.261E-01  3.0708E+01  1.6057E+01
 17.000 -2.0834E+00  6.9319E-02 -2.6590E+01  9.272E-01  3.3635E+01  1.7053E+01
 18.000 -2.2743E+00  6.1249E-02 -2.7521E+01  9.284E-01  3.6662E+01  1.8049E+01
 19.000 -2.4524E+00  5.1760E-02 -2.8424E+01  9.297E-01  3.9785E+01  1.9046E+01
 20.000 -2.6197E+00  4.4373E-02 -2.9334E+01  9.309E-01  4.3000E+01  2.0043E+01
